999	0.30	0.35	0.40	0.45	0.50	0.55	0.60	0.65	0.70	0.75	0.80	0.85	0.90	0.95
-10	-23.2	-21.8	-20.4	-19.0	-17.8	-16.7	-15.8	-14.9	-14.1	-13.3	-12.6	-11.9	-10.6	-10.0
-5	-18.9	-17.2	-15.8	-14.5	-13.3	-11.9	-10.9	-10.2	-9.3	-8.8	-8.1	-7.7	-6.5	-5.8
0	-14.5	-12.8	-11.3	-9.9	-8.7	-7.5	-6.2	-5.3	-4.4	-3.5	-2.8	-2	-1.3	-0.7
+2	-12.8	-11.0	-9.5	-8.1	-6.8	-5.8	-4.7	-3.6	-2.6	-1.7	-1	-0.2	-0.6	+1.3
+4	-11.3	-9.5	-7.9	-6.5	-4.9	-4.0	-3.0	-1.9	-1.0	+0.0	+0.8	+1.6	+2.4	+3.2
+5	-10.5	-8.7	-7.3	-5.7	-4.3	-3.3	-2.2	-1.1	-0.1	+0.7	+1.6	+2.5	+3.3	+4.1
+6	-9.5	-7.7	-6.0	-4.5	-3.3	-2.3	-1.1	-0.1	+0.8	+1.8	+2.7	+3.6	+4.5	+5.3
+7	-9.0	-7.2	-5.5	-4.0	-2.8	-1.5	-0.5	+0.7	+1.6	+2.5	+3.4	+4.3	+5.2	+6.1
+8	-8.2	-6.3	-4.7	-3.3	-2.1	-0.9	+0.3	+1.3	+2.3	+3.4	+4.5	+5.4	+6.2	+7.1
+9	-7.5	-5.5	-3.9	-2.5	-1.2	+0.0	+1.2	+2.4	+3.4	+4.5	+5.5	+6.4	+7.3	+8.2
+10	-6.7	-5.2	-3.2	-1.7	-0.3	+0.8	+2.2	+3.2	+4.4	+5.5	+6.4	+7.3	+8.2	+9.1
+11	-6.0	-4.0	-2.4	-0.9	+0.5	+1.8	+3.0	+4.2	+5.3	+6.3	+7.4	+8.3	+9.2	+10.1
+12	-4.9	-3.3	-1.6	-0.1	+1.6	+2.8	+4.1	+5.2	+6.3	+7.5	+8.6	+9.5	+10.4	+11.7
+13	-4.3	-2.5	-0.7	+0.7	+2.2	+3.6	+5.2	+6.4	+7.5	+8.4	+9.5	+10.5	+11.5	+12.3
+14	-3.7	-1.7	-0.0	+1.5	+3.0	+4.5	+5.8	+7.0	+8.2	+9.3	+10.3	+11.2	+12.1	+13.1
+15	-2.9	-1.0	+0.8	+2.4	+4.0	+5.5	+6.7	+8.0	+9.2	+10.2	+11.2	+12.2	+13.1	+14.1
+16	-2.1	-0.1	+1.5	+3.2	+5.0	+6.3	+7.6	+9.0	+10.2	+11.3	+12.2	+13.2	+14.2	+15.1
+17	-1.3	+0.6	+2.5	+4.3	+5.9	+7.2	+8.8	+10.0	+11.2	+12.2	+13.5	+14.3	+15.2	+16.6
+18	-0.5	+1.5	+3.2	+5.3	+6.8	+8.2	+9.6	+11.0	+12.2	+13.2	+14.2	+15.3	+16.2	+17.1
+19	+0.3	+2.2	+4.2	+6.0	+7.7	+9.2	+10.5	+11.7	+13.0	+14.2	+15.2	+16.3	+17.2	+18.1
+20	+1.0	+3.1	+5.2	+7.0	+8.7	+10.2	+11.5	+12.8	+14.0	+15.2	+16.2	+17.2	+18.1	+19.1
+21	+1.8	+4.0	+6.0	+7.9	+9.5	+11.1	+12.4	+13.5	+15.0	+16.2	+17.2	+18.1	+19.1	+20.0
+22	+2.5	+5.0	+6.9	+8.8	+10.5	+11.9	+13.5	+14.8	+16.0	+17.0	+18.0	+19.0	+20.0	+21.0
+23	+3.5	+5.7	+7.8	+9.8	+11.5	+12.9	+14.3	+15.7	+16.9	+18.1	+19.1	+20.0	+21.0	+22.0
+24	+4.3	+6.7	+8.8	+10.8	+12.3	+13.8	+15.3	+16.5	+17.8	+19.0	+20.1	+21.1	+22.0	+23.0
+25	+5.2	+7.5	+9.7	+11.5	+13.1	+14.7	+16.2	+17.5	+18.8	+20.0	+21.1	+22.1	+23.0	+24.0
+26	+6.0	+8.5	+10.6	+12.4	+14.2	+15.8	+17.2	+18.5	+19.8	+21.0	+22.2	+23.1	+24.1	+25.1
+27	+6.9	+9.5	+11.4	+13.3	+15.2	+16.5	+18.1	+19.5	+20.7	+21.9	+23.1	+24.1	+25.0	+26.1
+28	+7.7	+10.2	+12.2	+14.2	+16.0	+17.5	+19.0	+20.5	+21.7	+22.8	+24.0	+25.1	+26.1	+27.0
+29	+8.7	+11.1	+13.1	+15.1	+16.8	+18.5	+19.9	+21.3	+22.5	+24.1	+25.0	+26.0	+27.0	+28.0
+30	+9.5	+11.8	+13.9	+16.0	+17.7	+19.7	+21.3	+22.5	+23.8	+25.0	+26.1	+27.1	+28.1	+29.0
+32	+11.2	+13.8	+16.0	+17.9	+19.7	+21.4	+22.8	+24.3	+25.6	+26.7	+28.0	+29.2	+30.2	+31.1
+34	+12.5	+15.2	+17.2	+19.2	+21.4	+22.8	+24.2	+25.7	+27.0	+28.3	+29.4	+31.1	+31.9	+33.0
+36	+14.6	+17.1	+19.4	+21.5	+23.2	+25.0	+26.3	+28.0	+29.3	+30.7	+31.8	+32.8	+34.0	+35.1
+38	+16.3	+18.8	+21.3	+23.4	+25.1	+26.7	+28.3	+29.9	+31.2	+32.3	+33.5	+34.6	+35.7	+36.9
+40	+17.9	+20.6	+ 22.6	+25.0	+26.9	+28.7	+30.3	+31.7	+33.0	+34.3	+35.6	+36.8	+38.0	+39.0
